구분,고급휘발유,보통휘발유,자동차용경유
2021년11월02일,2005.13,1788.16,1585.36
2021년11월03일,2008.60,1791.29,1588.34
2021년11월04일,2014.46,1794.95,1591.63
2021년11월05일,2017.61,1797.95,1594.42
2021년11월06일,2018.98,1801.25,1597.58
2021년11월07일,2019.92,1802.96,1598.84
2021년11월08일,2021.26,1805.18,1600.87
2021년11월09일,2022.37,1807.47,1602.98
2021년11월10일,2023.68,1809.12,1604.52
2021년11월11일,2023.92,1810.16,1605.64
2021년11월12일,1943.95,1767.74,1575.03
2021년11월13일,1932.15,1751.17,1562.40
2021년11월14일,1926.97,1742.50,1555.81
2021년11월15일,1920.72,1724.87,1542.16
2021년11월16일,1914.06,1711.92,1531.96
2021년11월17일,1909.54,1704.62,1526.24
2021년11월18일,1905.72,1699.10,1521.82
2021년11월19일,1903.27,1695.39,1518.74
2021년11월20일,1902.19,1692.72,1516.50
2021년11월21일,1901.40,1691.38,1515.15
2021년11월22일,1899.77,1688.88,1513.22
2021년11월23일,1898.46,1687.02,1511.62
2021년11월24일,1897.32,1685.60,1510.35
2021년11월25일,1896.09,1684.46,1509.16
2021년11월26일,1894.56,1683.16,1508.23
2021년11월27일,1893.14,1681.57,1506.77
2021년11월28일,1892.68,1680.79,1505.83
2021년11월29일,1891.82,1679.52,1504.95
2021년11월30일,1892.07,1678.25,1503.76
2021년12월01일,1889.99,1675.88,1501.52
2021년12월02일,1888.38,1673.98,1499.73
2021년12월03일,1887.32,1672.11,1497.83
2021년12월04일,1885.76,1670.22,1495.88
2021년12월05일,1885.64,1669.44,1494.93
2021년12월06일,1884.99,1667.87,1493.43
2021년12월07일,1883.22,1664.87,1489.98
2021년12월08일,1881.65,1662.05,1486.87
2021년12월09일,1878.97,1659.45,1483.64
2021년12월10일,1876.76,1656.65,1480.84
2021년12월11일,1875.24,1654.40,1478.23
2021년12월12일,1874.48,1653.53,1477.06
2021년12월13일,1873.73,1651.59,1475.23
2021년12월14일,1872.38,1649.23,1472.46
2021년12월15일,1870.76,1646.71,1469.52
2021년12월16일,1869.18,1643.44,1466.11
2021년12월17일,1868.00,1641.08,1463.39
2021년12월18일,1866.80,1639.44,1461.35
2021년12월19일,1866.59,1638.75,1460.26
2021년12월20일,1865.79,1636.81,1458.47
2021년12월21일,1864.53,1634.46,1455.64
2021년12월22일,1863.72,1632.31,1453.08
2021년12월23일,1862.86,1630.71,1451.15
